違反槍砲彈藥刀械管制條例概況,發生數(件) / 新北市 ,發生數(件) / 臺北市 ,發生數(件) / 桃園市 ,發生數(件) / 臺中市 ,發生數(件) / 臺南市 ,發生數(件) / 高雄市 ,發生數(件) / 臺灣省 ,發生數(件) / 福建省 ,破獲數(件) / 新北市 ,破獲數(件) / 臺北市 ,破獲數(件) / 桃園市 ,破獲數(件) / 臺中市 ,破獲數(件) / 臺南市 ,破獲數(件) / 高雄市 ,破獲數(件) / 臺灣省 ,破獲數(件) / 福建省 
90年 12月,7,3,22,14,11,13,104,         －,4,5,22,13,12,13,104,         －
91年,200,93,134,178,109,179,"1,386",         －,134,134,117,210,113,168,"1,267",         －
91年 1月,3,7,8,10,7,8,59,         －,4,4,8,13,7,7,54,         －
91年 2月,29,6,17,20,12,32,205,         －,20,13,19,16,12,30,194,         －
91年 3月,18,7,7,12,12,13,105,         －,13,8,7,11,13,10,100,         －
91年 4月,13,14,8,8,7,6,87,         －,12,14,6,8,8,6,80,         －
91年 5月,12,6,4,12,10,18,89,         －,9,8,3,9,10,13,80,         －
91年 6月,10,6,3,14,6,9,76,         －,3,12,3,14,4,7,60,         －
91年 7月,16,9,3,15,12,18,95,         －,13,12,2,10,11,16,90,         －
91年 8月,13,4,9,23,9,11,145,         －,9,8,9,22,7,14,133,         －
91年 9月,15,8,15,9,13,13,111,         －,11,14,13,8,16,14,99,         －
91年 10月,12,9,20,16,12,11,111,         －,8,15,15,17,12,12,102,         －
91年 11月,34,9,22,24,4,24,174,         －,15,11,14,66,6,24,155,         －
91年 12月,25,8,18,15,5,16,129,         －,17,15,18,16,7,15,120,         －
92年,230,121,188,246,113,187,"1,536",2,162,187,160,234,134,170,"1,421",4
92年 1月,28,9,19,31,12,23,181,         －,26,15,12,33,16,19,174,         －
92年 2月,15,8,9,9,5,15,85,         －,10,11,8,8,8,12,78,         －
92年 3月,17,9,12,24,6,8,105,         －,7,19,11,22,6,12,89,         －
92年 4月,16,11,20,25,8,14,128,         －,9,15,21,26,9,18,122,         －
92年 5月,16,12,7,15,18,12,102,1,10,15,8,17,19,8,95,1
92年 6月,21,9,7,15,10,9,94,         －,12,15,7,14,8,10,79,         －
92年 7月,19,11,16,15,11,17,116,         －,17,15,13,15,14,13,112,         －
92年 8月,12,12,13,16,7,19,102,         －,11,13,11,15,8,16,96,1
92年 9月,16,11,18,22,8,17,107,         －,11,18,13,20,8,18,95,         －
92年 10月,20,14,25,27,9,14,178,         －,15,23,19,21,14,11,165,1
